surface_tension,molecular_formula,density_liquid,enthalpy_vaporization,enthalpy_vaporization_boiling,thermal_expansion,C,Br,Cl,F,N,O,H,I,S,Si,Al,Ga,P,B,molecular_weight
30.32,C2HCl4F,1.6138,33.514,33.816,0.00102,2.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.839424163
30.49,C2HCl4F,1.6138,33.591,33.778,0.0010157,2.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.839424163
30.58,C2HCl5,1.675,37.912,37.093,0.00086987,2.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202.29392099999998
6.08,C2HF3,1.2782,18.097,19.142,0.0051259,2.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.024630489
13.54,C2HF3O2,1.48,29.384,31.604,0.0014408,2.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.023440489
3.95,C2HF5,1.2166,18.372,19.147,0.005306,2.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.021436815
9.78,C2HF5O,1.6696,19.593,19.344,0.0022118,2.0,0.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.020841815
25.75,C2HI,2.4,25.682,25.52,0.0014572,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,151.93389100000002
29.59,C2H2Br2,2.1698,31.282,31.094,0.00093243,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.844362
37.05,C2H2Br2,2.2361,33.382,33.015,0.00092638,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.844362
38.77,C2H2Br2,2.2205,33.988,32.593,0.00092756,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.844362
34.89,C2H2Br2,2.1731,33.147,32.87,0.00093597,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.844362
48.71,C2H2Br4,2.967,45.749,52.394,0.00084804,2.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.65136199999995
40.59,C2H2Br4,2.9715,44.628,52.101000000000006,0.00084784,2.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.65136199999995
17.54,C2H2ClF3,1.389,24.08,22.982,0.001877,2.0,0.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.48547148899999
17.54,C2H2ClF3,1.389,24.08,23.243,0.001877,2.0,0.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.48547148899999
15.74,C2H2ClF3,1.3274,23.375,23.643,0.0019346,2.0,0.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.48547148899999
20.64,C2H2Cl2,1.2103,25.594,26.607,0.0012699,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.943162
28.68,C2H2Cl2,1.265,28.315,29.749,0.0011958,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.943162
25.36,C2H2Cl2,1.2565,27.151,28.221,0.0013482,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.943162
28.18,C2H2Cl2,1.2757,27.88,31.154,0.001257,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.943162
26.43,C2H2Cl2,1.2077,27.88,32.782,0.0012704,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.943162
15.73,C2H2Cl2F2,1.4032,24.386,26.885,0.0018756,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.939968326
15.73,C2H2Cl2F2,1.4032,24.386,28.481,0.0018756,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.939968326
22.01,C2H2Cl2F2,1.4061,27.012,27.791,0.0014639,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.939968326
