surface_tension,molecular_formula,density_liquid,enthalpy_fusion,enthalpy_vaporization,enthalpy_vaporization_boiling,thermal_expansion,VDW_area,VDW_volume,radius_gyration,dipole_moment,C,Br,Cl,O,F,H,N,I,Si,S,molecular_weight
40.58,C6H3Cl3,1.449,15.565,42.851,44.108,0.00080299,12330000000.0,100.98,4.832,"1.26 ",6.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,181.44696299999998
38.09,C6H4Cl2,1.301,12.922,39.681,39.936,0.00077715,8220000000.0,67.3,4.186,"2.5 ",6.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,147.002004
35.88,C6H4Cl2,1.283,12.59,38.963,38.99,0.00082162,8220000000.0,67.32,4.388999999999999,"1.721 ",6.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,147.002004
32.93,C6H5Cl,1.106,9.556,35.053,35.82,0.00094672,7140000000.0,57.84,3.603,"1.6909999999999998 ",6.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,112.557045
40.5,C6H5ClO,1.255,12.523,38.231,40.124,0.00087536,7870000000.0,63.36,3.837,"1.331 ",6.0,0.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,128.55644999999998
26.82,C6H5F,1.019,11.305,30.606,31.376,0.0011432,6310000000.0,50.84,3.345,"1.6 ",6.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,96.102548163
39.01,C6H5I,1.826,9.749,40.443,40.503,0.00077321,7720000000.0,64.68,3.359,"1.7 ",6.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,204.00861500000002
43.23,C6H5NO2,1.199,10.815,42.591,44.079,0.00080932,7760000000.0,61.84,3.944,"0.423 ",6.0,0.0,0.0,2.0,0.0,5.0,1.0,0.0,0.0,0.0,123.109658
28.21,C6H6,0.873,9.866,30.158,30.746,0.0011381,6000000000.0,48.4,3.004,"0.0 ",6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,78.112086
48.54,C6H6ClN,1.211,10.152,44.443,46.141,0.00078229,9090000000.0,66.44,4.092,"2.94 ",6.0,0.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,127.571689
44.01,C6H6ClN,1.1531,11.883,42.398,46.495,0.00080281,9090000000.0,66.44,3.934,"1.77 ",6.0,0.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,127.571689
38.54,C6H6S,1.073,11.447,38.552,39.569,0.00077715,8650000000.0,60.65,3.608,"1.229 ",6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,110.176886
42.38,C6H7N,1.018,10.54,39.997,44.221,0.00081623,7040000000.0,56.38,3.4360000000000004,"1.529 ",6.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,93.12673000000001
33.62,C6H7N,0.94,9.724,34.755,36.132,0.0010781,8120000000.0,56.67,3.365,"2.039 ",6.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,93.12673000000001
35.04,C6H7N,0.952,14.18,36.179,37.315,0.00098268,8120000000.0,56.67,3.401,"2.401 ",6.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,93.12673000000001
35.43,C6H7N,0.95,12.582,36.274,37.864,0.00098655,8120000000.0,56.67,3.409,"2.581 ",6.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,93.12673000000001
26.66,C6H8,0.837,4.205,30.231,30.591,0.0012702,7020000000.0,54.09,2.835,"0.441 ",6.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,80.12796800000001
62.58,C6H8N2,0.96,23.076,50.758,57.539,0.00075863,9780000000.0,70.32,3.979,"3.747 ",6.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,108.14137400000001
42.49,C6H8N2,1.094,16.43,45.362,52.61,0.00089005,8740000000.0,65.98,3.776,"1.670 ",6.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,108.14137400000001
38.4,C6H8O4,1.148,14.64,42.028,47.099,0.00088422,10800000000.0,74.68,4.952,"2.479 ",6.0,0.0,0.0,4.0,0.0,8.0,0.0,0.0,0.0,0.0,144.125588
26.09,C6H10,0.806,3.284,30.429,31.11,0.0011631,7400000000.0,57.04,3.157,"0.330 ",6.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,82.14385
22.33,C6H10,0.719,11.7,29.22,30.507,0.0012788,8560000000.0,61.22,3.765,"0.309 ",6.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,82.14385
24.97,C6H10,0.71,11.7,30.324,30.677,0.0012822,8560000000.0,61.22,3.525,"0.309 ",6.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,82.14385
22.19,C6H10,0.723,6.1160000000000005,29.108,28.911,0.0012774,9180000000.0,61.24,3.57,"0.510 ",6.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,82.14385
20.98,C6H10,0.712,14.27,29.34,30.446,0.0013692,8890000000.0,63.96,3.691,"0.830 ",6.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,82.14385
34.37,C6H10O,0.9478,1.328,37.226,37.097,0.00083195,8350000000.0,62.85,3.511,"3.088 ",6.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,98.14325500000001
26.07,C6H10O2,1.067,13.82,37.112,44.21,0.00071966,8950000000.0,66.55,3.462,"4.450 ",6.0,0.0,0.0,2.0,0.0,10.0,0.0,0.0,0.0,0.0,114.14266
31.79,C6H10O3,1.023,17.264,39.705,43.609,0.00093027,10740000000.0,74.7,4.405,"2.960 ",6.0,0.0,0.0,3.0,0.0,10.0,0.0,0.0,0.0,0.0,130.142065
34.65,C6H10O4,1.101,20.034,40.635,45.368,0.00091976,11340000000.0,78.2,4.867,"2.340 ",6.0,0.0,0.0,4.0,0.0,10.0,0.0,0.0,0.0,0.0,146.14147
21.65,C6H12,0.745,6.93,29.388,29.337,0.0012637,8090000000.0,60.17,3.299,"0.000 ",6.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,84.159732
24.65,C6H12,0.773,2.68,30.221,29.889,0.0011622,8100000000.0,61.4,3.242,"0.609 ",6.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,84.159732
17.89,C6H12,0.667,9.347,28.641,28.642,0.0014357,9110000000.0,64.77,3.66,"0.339 ",6.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,84.159732
18.45,C6H12,0.673,8.255,29.016,29.097,0.0014579,9100000000.0,64.74,3.616,"0.000 ",6.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,84.159732
18.23,C6H12,0.675,8.247,28.884,28.884,0.0014571,9100000000.0,64.74,3.649,"0.339 ",6.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,84.159732
18.28,C6H12,0.673,11.08,28.94,29.104,0.0014579,9100000000.0,64.74,3.649,"0.000 ",6.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,84.159732
16.11,C6H12,0.673,5.448,27.873,27.472,0.0014579,9400000000.0,64.74,3.628,"0.000 ",6.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,84.159732
20.65,C6H12,0.703,6.44,29.514,29.408,0.0014459,9700000000.0,64.7,3.577,"0.000 ",6.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,84.159732
13.12,C6H12,0.648,1.096,26.538,25.925,0.0014683,9300000000.0,64.75,3.341,"0.000 ",6.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,84.159732
18.2,C6H12,0.685,7.572999999999999,28.718,28.348,0.001453,9410000000.0,64.75,3.625,"0.000 ",6.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,84.159732
21.05,C6H12O,0.774,13.8,31.451,32.896,0.0012712,9710000000.0,68.47,3.806,"1.250 ",6.0,0.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,100.159137
33.42,C6H12O,0.96,1.783,37.702,40.259,0.00090413,8780000000.0,64.84,3.6010000000000004,"1.859 ",6.0,0.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,100.159137
27.91,C6H12O,0.81,13.33,34.755,36.542,0.0010748,9890000000.0,69.7,3.924,"2.578 ",6.0,0.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,100.159137
25.28,C6H12O,0.807,14.9,34.565,36.624,0.0010993,9890000000.0,69.73,4.093,"2.680 ",6.0,0.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,100.159137
24.99,C6H12O,0.81,13.49,34.186,35.316,0.0011215,8540000000.0,69.73,4.009,"2.869 ",6.0,0.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,100.159137
24.26,C6H12O,0.807,10.309,33.619,33.939,0.0010887,9880000000.0,69.72,3.828,"2.773 ",6.0,0.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,100.159137
23.77,C6H12O,0.806,10.309,33.43,33.843,0.001089,9880000000.0,69.72,3.892,"3.118 ",6.0,0.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,100.159137
40.74,C6H12O2,0.9247,15.062,41.917,52.122,0.00093922,10580000000.0,74.33,4.404,"1.571 ",6.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0,116.15854200000001
25.54,C6H12O2,0.881,17.347,34.376,39.436,0.001146,10490000000.0,73.43,4.159,"1.901 ",6.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0,116.15854200000001
24.78,C6H12O2,0.876,14.59,34.47,36.511,0.0011497,10490000000.0,73.23,4.261,"1.841 ",6.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0,116.15854200000001
23.06,C6H12O2,0.868,12.142,33.147,34.683,0.0011982,10480000000.0,73.22,4.055,"1.859 ",6.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0,116.15854200000001
22.97,C6H12O2,0.869,12.4,33.619,35.877,0.0012153,10480000000.0,73.22,4.276,"1.871 ",6.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0,116.15854200000001
22.49,C6H12O2,0.861,8.251,31.799,32.577,0.0011999,10700000000.0,73.2,3.845,"1.919 ",6.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0,116.15854200000001
24.19,C6H12O2,0.877,15.0,34.186,35.656,0.0011784,10490000000.0,73.23,4.311,"1.790 ",6.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0,116.15854200000001
23.94,C6H12O2,0.874,12.5,33.997,35.109,0.0011687,10490000000.0,73.43,4.298,"1.811 ",6.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0,116.15854200000001
22.7,C6H12O2,0.863,12.142,32.996,34.238,0.0012534,10500000000.0,73.2,4.211,"2.070 ",6.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0,116.15854200000001
35.8,C6H12O2,0.934,6.04,38.48,44.57,0.0010536,10770000000.0,74.31,3.905,"3.238 ",6.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0,116.15854200000001
31.08,C6H12O3,0.97,17.2,37.391,40.384,0.0011103,10900000000.0,76.93,4.664,"2.250 ",6.0,0.0,0.0,3.0,0.0,12.0,0.0,0.0,0.0,0.0,132.157947
25.61,C6H12O3,0.985,13.52,34.295,37.72,0.0010181,9870000000.0,72.45,4.166,"1.430 ",6.0,0.0,0.0,3.0,0.0,12.0,0.0,0.0,0.0,0.0,132.157947
31.08,C6H13N,0.863,13.7,35.229,36.167,0.00091486,8490000000.0,66.2,3.539,"1.31 ",6.0,0.0,0.0,0.0,0.0,13.0,1.0,0.0,0.0,0.0,99.174376
17.98,C6H14,0.656,13.079,29.095,29.107,0.0014162,9640000000.0,68.26,3.769,"0.0 ",6.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,86.17561400000001
16.87,C6H14,0.648,6.268,28.302,27.942,0.0014573,9630000000.0,68.25,3.784,"0.0 ",6.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,86.17561400000001
17.58,C6H14,0.66,5.303,28.587,28.262,0.0014291,9630000000.0,68.25,3.695,"0.0 ",6.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,86.17561400000001
15.8,C6H14,0.644,0.579,27.326,26.416,0.0014732,9830000000.0,68.24,3.4760000000000004,"0.0 ",6.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,86.17561400000001
16.87,C6H14,0.658,0.79,28.094,27.488,0.0014352,9620000000.0,68.24,3.636,"0.0 ",6.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,86.17561400000001
33.22,C6H14O,0.816,15.38,37.416,45.925,0.0010328,10330000000.0,72.86,4.144,"1.649 ",6.0,0.0,0.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0,102.175019
29.68,C6H14O,0.81,11.861,35.608,42.932,0.0011053,10320000000.0,72.85,3.787,"1.541 ",6.0,0.0,0.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0,102.175019
31.59,C6H14O,0.827,11.861,36.559,42.879,0.0010491,10320000000.0,72.85,3.967,"1.481 ",6.0,0.0,0.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0,102.175019
27.34,C6H14O,0.805,8.338,35.039,54.078,0.0011686,10310000000.0,72.84,3.843,"1.7 ",6.0,0.0,0.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0,102.175019
20.16,C6H14O,0.745,12.5,31.235,31.593000000000004,0.0013206,10240000000.0,71.96,3.932,"1.22 ",6.0,0.0,0.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0,102.175019
19.98,C6H14O,0.741,10.77,31.075,32.206,0.001296,10220000000.0,71.96,3.914,"1.211 ",6.0,0.0,0.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0,102.175019
17.26,C6H14O,0.721,12.035,29.052,29.58,0.001418,10220000000.0,71.94,3.906,"1.13 ",6.0,0.0,0.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0,102.175019
